Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc
0,0,274,0.005,0.9014598540145985,0.9661372387238724,0.625,0.6304347826086957
0,1,275,0.005,0.9090909090909091,0.9645666621456667,0.7096774193548387,0.6847826086956521
0,2,275,0.005,0.9018181818181819,0.9667028346670283,0.5161290322580645,0.592391304347826
0,3,275,0.005,0.9054545454545454,0.9677200596772007,0.6774193548387096,0.7010869565217391
0,4,275,0.005,0.9018181818181819,0.9696527871965279,0.6129032258064516,0.5652173913043478
0,5,276,0.005,0.9130434782608695,0.9655509818476281,0.7,0.7613636363636364
0,6,276,0.005,0.8876811594202898,0.9554625818206357,0.7,0.7045454545454546
0,7,276,0.005,0.9166666666666666,0.9694986166407991,0.6,0.5397727272727273
0,8,276,0.005,0.9202898550724637,0.9746946487617248,0.7333333333333333,0.5625
0,9,276,0.005,0.9057971014492754,0.9624805992307174,0.7333333333333333,0.8068181818181819
1,0,274,0.005,0.9087591240875912,0.9656559405940593,0.6875,0.6473429951690821
1,1,275,0.005,0.9090909090909091,0.9677539671775397,0.7096774193548387,0.654891304347826
1,2,275,0.005,0.9127272727272727,0.9682286721822867,0.6774193548387096,0.7038043478260869
1,3,275,0.005,0.9090909090909091,0.9624643971246439,0.7741935483870968,0.7961956521739131
1,4,275,0.005,0.8981818181818182,0.9649735521497355,0.7419354838709677,0.8097826086956522
1,5,276,0.005,0.8985507246376812,0.9660233484040758,0.6,0.6136363636363636
1,6,276,0.005,0.9021739130434783,0.9689925096160336,0.6,0.46590909090909094
1,7,276,0.005,0.9130434782608695,0.97094945677846,0.6,0.5397727272727273
1,8,276,0.005,0.9021739130434783,0.9614009042445509,0.7333333333333333,0.7045454545454546
1,9,276,0.005,0.8876811594202898,0.9623118968891289,0.7333333333333333,0.7159090909090909
2,0,274,0.005,0.9124087591240876,0.9650371287128713,0.65625,0.642512077294686
2,1,275,0.005,0.8909090909090909,0.9664654821646549,0.5806451612903226,0.5706521739130435
2,2,275,0.005,0.9018181818181819,0.9692798046927981,0.6129032258064516,0.5597826086956522
2,3,275,0.005,0.92,0.975179709751797,0.6451612903225806,0.48913043478260865
2,4,275,0.005,0.88,0.9608707446087075,0.6774193548387096,0.7065217391304348
2,5,276,0.005,0.9094202898550725,0.9650111343545448,0.7,0.7102272727272727
2,6,276,0.005,0.9021739130434783,0.9720291517646265,0.6666666666666666,0.5681818181818181
2,7,276,0.005,0.9130434782608695,0.9642688440515554,0.5,0.625
2,8,276,0.005,0.9130434782608695,0.9655847223159457,0.7,0.7386363636363638
2,9,276,0.005,0.8985507246376812,0.9647074701396855,0.7333333333333333,0.6676136363636364
3,0,274,0.005,0.9014598540145985,0.9618055555555555,0.625,0.6280193236714976
3,1,275,0.005,0.8945454545454545,0.9645666621456666,0.6774193548387096,0.6413043478260869
3,2,275,0.005,0.8945454545454545,0.9637867896378679,0.6451612903225806,0.6440217391304348
3,3,275,0.005,0.9272727272727272,0.9722636647226367,0.7096774193548387,0.5108695652173914
3,4,275,0.005,0.8872727272727273,0.9667367421673674,0.6774193548387096,0.7119565217391305
3,5,276,0.005,0.9094202898550725,0.9649773938862272,0.6,0.6761363636363636
3,6,276,0.005,0.894927536231884,0.9605236520682907,0.5333333333333333,0.6079545454545454
3,7,276,0.005,0.9021739130434783,0.9685538835279034,0.6666666666666666,0.5965909090909092
3,8,276,0.005,0.8876811594202898,0.9635265537485661,0.7333333333333333,0.6590909090909091
3,9,276,0.005,0.9130434782608695,0.9710844186517309,0.7,0.6988636363636364
4,0,274,0.005,0.9124087591240876,0.9672717271727173,0.71875,0.6618357487922706
4,1,275,0.005,0.88,0.9635494371354943,0.5806451612903226,0.4836956521739131
4,2,275,0.005,0.9236363636363636,0.974196392241964,0.4838709677419355,0.46195652173913043
4,3,275,0.005,0.9018181818181819,0.9634816221348161,0.6774193548387096,0.5815217391304348
4,4,275,0.005,0.9054545454545454,0.9632103621321035,0.7741935483870968,0.7608695652173914
4,5,276,0.005,0.894927536231884,0.9663944935555705,0.7333333333333333,0.7386363636363636
4,6,276,0.005,0.894927536231884,0.966900600580336,0.6,0.6079545454545454
4,7,276,0.005,0.9202898550724637,0.975571900937985,0.5,0.5056818181818181
4,8,276,0.005,0.9021739130434783,0.9586679263108172,0.6333333333333333,0.6818181818181819
4,9,276,0.005,0.9130434782608695,0.9726027397260274,0.6666666666666666,0.6136363636363636
