Num_features,Rep_s,Test_fold_no,stopping_percent,test_accu,test_roc,train_accu,train_roc
315,0,0,0.005,0.8611111111111112,0.8160535117056855,1.0,1.0
315,0,1,0.005,0.8333333333333334,0.9565217391304348,1.0,1.0
315,0,2,0.005,0.8888888888888888,0.8795986622073578,1.0,1.0
315,0,3,0.005,0.9444444444444444,0.9832775919732442,1.0,1.0
315,0,4,0.005,0.8888888888888888,0.9899665551839465,1.0,1.0
316,0,5,0.005,0.8857142857142857,0.9265734265734266,1.0,1.0
317,0,6,0.005,0.8823529411764706,0.9166666666666667,1.0,1.0
317,0,7,0.005,0.9411764705882353,0.9659090909090908,1.0,1.0
317,0,8,0.005,0.8529411764705882,0.8106060606060607,1.0,1.0
317,0,9,0.005,0.8823529411764706,0.8977272727272727,1.0,1.0
315,1,0,0.005,0.8333333333333334,0.8428093645484951,1.0,1.0
315,1,1,0.005,0.9166666666666666,0.9832775919732442,1.0,1.0
315,1,2,0.005,0.9722222222222222,0.9230769230769231,1.0,1.0
315,1,3,0.005,0.9722222222222222,1.0,1.0,1.0
315,1,4,0.005,0.8888888888888888,0.8996655518394648,1.0,1.0
316,1,5,0.005,0.8571428571428571,0.9230769230769231,1.0,1.0
317,1,6,0.005,0.9411764705882353,0.9696969696969697,1.0,1.0
317,1,7,0.005,0.8823529411764706,0.9734848484848485,1.0,1.0
317,1,8,0.005,0.8235294117647058,0.9659090909090909,1.0,1.0
317,1,9,0.005,0.9411764705882353,0.9696969696969696,1.0,1.0
315,2,0,0.005,0.8611111111111112,0.9498327759197324,1.0,1.0
315,2,1,0.005,0.8888888888888888,0.9230769230769231,1.0,1.0
315,2,2,0.005,0.8333333333333334,0.8795986622073578,1.0,1.0
315,2,3,0.005,0.9166666666666666,0.9230769230769231,1.0,1.0
315,2,4,0.005,0.8888888888888888,0.9364548494983278,1.0,1.0
316,2,5,0.005,0.8285714285714286,0.8356643356643357,1.0,1.0
317,2,6,0.005,0.8529411764705882,0.8446969696969697,1.0,1.0
317,2,7,0.005,0.9705882352941176,1.0,1.0,1.0
317,2,8,0.005,0.9411764705882353,0.9204545454545454,1.0,1.0
317,2,9,0.005,0.8823529411764706,0.9431818181818182,1.0,1.0
315,3,0,0.005,0.9444444444444444,0.9832775919732442,1.0,1.0
315,3,1,0.005,0.9166666666666666,0.9163879598662207,1.0,1.0
315,3,2,0.005,0.9166666666666666,0.9866220735785953,1.0,1.0
315,3,3,0.005,0.8055555555555556,0.7692307692307692,1.0,1.0
315,3,4,0.005,0.8888888888888888,0.9130434782608695,1.0,1.0
316,3,5,0.005,0.9142857142857143,0.9125874125874126,1.0,1.0
317,3,6,0.005,0.8529411764705882,0.9204545454545454,1.0,1.0
317,3,7,0.005,0.9117647058823529,0.9696969696969697,1.0,1.0
317,3,8,0.005,0.9117647058823529,0.9621212121212122,1.0,1.0
317,3,9,0.005,0.8823529411764706,0.9053030303030303,1.0,1.0
315,4,0,0.005,0.9166666666666666,0.9163879598662207,1.0,1.0
315,4,1,0.005,0.9444444444444444,0.9264214046822743,1.0,1.0
315,4,2,0.005,0.8888888888888888,0.9732441471571907,1.0,1.0
315,4,3,0.005,0.8888888888888888,0.8862876254180602,1.0,1.0
315,4,4,0.005,0.9722222222222222,0.9933110367892977,1.0,1.0
316,4,5,0.005,0.8857142857142857,0.881118881118881,1.0,1.0
317,4,6,0.005,0.8823529411764706,0.8977272727272727,1.0,1.0
317,4,7,0.005,0.7941176470588235,0.8143939393939394,1.0,1.0
317,4,8,0.005,0.8529411764705882,0.8977272727272727,1.0,1.0
317,4,9,0.005,0.8823529411764706,0.9507575757575758,1.0,1.0
