Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,0.6,0.9739413680781759,0.9961182024829516,0.9855072463768116,0.9981481481481482
0,2,0.1,0.9739413680781759,0.9966194556157837,0.9565217391304348,0.9944444444444445
0,3,7.6,0.9755700325732899,0.9974471061374366,0.9565217391304348,0.9981481481481482
0,4,0.1,0.9690553745928339,0.995593635250918,0.9855072463768116,0.9972222222222222
0,5,0.1,0.9691056910569106,0.9954186046511627,0.9852941176470589,0.9990530303030304
0,6,0.1,0.9772357723577236,0.9967325581395349,0.9411764705882353,0.9857954545454546
0,7,0.6,0.9772357723577236,0.996906976744186,0.9558823529411765,0.9924242424242424
0,8,1.1,0.9739837398373984,0.9965116279069767,0.9705882352941176,0.9952651515151515
0,9,9.6,0.9772357723577236,0.9981279069767443,0.9558823529411765,0.990530303030303
0,10,2.1,0.9772727272727273,0.996550925925926,0.9701492537313433,0.9990118577075099
1,1,1.1,0.9771986970684039,0.996875910707,0.9420289855072463,0.9925925925925927
1,2,0.1,0.9739413680781759,0.9963979716733695,0.9710144927536232,0.9925925925925927
1,3,8.1,0.9755700325732899,0.9978434458238619,0.9710144927536232,0.9907407407407407
1,4,9.1,0.9755700325732899,0.9978551028734627,0.9855072463768116,0.9953703703703703
1,5,7.6,0.9772357723577236,0.997732558139535,0.9558823529411765,0.9952651515151515
1,6,0.1,0.9707317073170731,0.9956860465116278,0.9852941176470589,1.0
1,7,3.1,0.9739837398373984,0.9966976744186046,0.9852941176470589,1.0
1,8,0.6,0.9788617886178862,0.9970581395348838,0.9411764705882353,0.9876893939393939
1,9,0.6,0.9739837398373984,0.9960348837209302,1.0,1.0
1,10,2.1,0.9756493506493507,0.9968981481481481,0.9701492537313433,0.9960474308300395
2,1,1.1,0.9723127035830619,0.9962114588797576,0.9855072463768116,1.0
2,2,0.1,0.9690553745928339,0.9956169493501194,0.9710144927536232,0.9990740740740741
2,3,0.1,0.9771986970684039,0.9965495133181791,0.9565217391304348,0.9935185185185186
2,4,3.6,0.9755700325732899,0.997062423500612,0.9710144927536232,1.0
2,5,9.6,0.9772357723577236,0.9977558139534883,0.9705882352941176,0.9971590909090909
2,6,0.1,0.967479674796748,0.9956046511627906,0.9852941176470589,1.0
2,7,9.1,0.975609756097561,0.9978023255813954,0.9852941176470589,0.9895833333333335
2,8,9.1,0.975609756097561,0.9976395348837208,0.9705882352941176,0.9990530303030304
2,9,5.6,0.9788617886178862,0.9978837209302326,0.9411764705882353,0.9857954545454546
2,10,0.1,0.9707792207792207,0.995787037037037,0.9850746268656716,1.0
3,1,8.6,0.9755700325732899,0.9974704202366381,1.0,1.0
3,2,0.6,0.9804560260586319,0.997563676633444,0.9420289855072463,0.9796296296296296
3,3,1.6,0.9723127035830619,0.9962231159293583,1.0,1.0
3,4,9.1,0.9788273615635179,0.9977851605758583,0.9565217391304348,0.9972222222222222
3,5,5.1,0.9772357723577236,0.9979418604651162,0.9411764705882353,0.9886363636363635
3,6,1.1,0.9788617886178862,0.9972441860465117,0.9264705882352942,0.9876893939393939
3,7,6.1,0.9739837398373984,0.9971627906976746,0.9852941176470589,1.0
3,8,2.6,0.9739837398373984,0.9963255813953489,1.0,1.0
3,9,6.1,0.975609756097561,0.9972790697674419,0.9852941176470589,0.9971590909090909
3,10,0.6,0.974025974025974,0.9962962962962963,0.9850746268656716,0.9990118577075099
4,1,0.1,0.9739413680781759,0.9965028851197761,0.9565217391304348,0.9925925925925925
4,2,0.1,0.9755700325732899,0.9962580870781604,0.9710144927536232,0.9953703703703703
4,3,0.1,0.9690553745928339,0.9956052923005188,0.9710144927536232,1.0
4,4,0.6,0.9739413680781759,0.9961881447805561,1.0,1.0
4,5,3.6,0.975609756097561,0.9969302325581396,0.9705882352941176,0.9933712121212122
4,6,2.6,0.9772357723577236,0.9966395348837209,0.9558823529411765,0.9981060606060606
4,7,0.1,0.9723577235772358,0.9962093023255815,0.9705882352941176,0.9952651515151516
4,8,9.1,0.9804878048780488,0.9984767441860465,0.9411764705882353,0.9801136363636364
4,9,5.1,0.975609756097561,0.9972441860465117,0.9852941176470589,0.9962121212121212
4,10,0.1,0.9724025974025974,0.9956597222222222,0.9701492537313433,1.0
